iteration,loss,max_conf,mean_conf,grad_norm,texture_mean,texture_std,spawn_idx,weather_name,timestamp
360,0.34017471472422284,0.6706226468086243,0.26874345541000366,0.2195194661617279,0.5059123635292053,0.3695265054702759,36,clear_noon,2026-02-28T22:29:14.297034
370,0.4826204081376394,0.6500171422958374,0.35814663767814636,0.21994802355766296,0.5040525794029236,0.37019020318984985,37,golden_hour,2026-02-28T22:29:28.989212
380,0.24237746993700665,0.3363581895828247,0.2107604742050171,0.170271635055542,0.5023314952850342,0.3717115521430969,38,golden_hour,2026-02-28T22:29:43.646432
390,0.38768516977628076,0.5695390105247498,0.30106648802757263,0.31380224227905273,0.5006988644599915,0.37189215421676636,39,partly_cloudy,2026-02-28T22:29:58.329138
400,0.3009323974450429,0.4493502974510193,0.24834708869457245,0.20411735773086548,0.49854153394699097,0.3718290627002716,40,clear_noon,2026-02-28T22:30:12.985217
410,0.28482604026794434,0.591760516166687,0.22972488403320312,0.14966250956058502,0.49690669775009155,0.37252017855644226,41,overcast,2026-02-28T22:30:27.696007
420,0.25988584260145825,0.43558719754219055,0.21880608797073364,0.1256721466779709,0.4957577586174011,0.3734884262084961,42,clear_afternoon,2026-02-28T22:30:42.343046
430,0.4202769200007121,0.6165556907653809,0.3254380524158478,0.26266103982925415,0.49507245421409607,0.37393054366111755,43,overcast,2026-02-28T22:30:57.009278
440,0.4281815091768901,0.5978189706802368,0.32542747259140015,0.2606617212295532,0.4945856034755707,0.37410035729408264,44,overcast,2026-02-28T22:31:11.653446
450,0.2024346838394801,0.3330851197242737,0.17956672608852386,0.20096738636493683,0.49477720260620117,0.3729202151298523,45,hazy,2026-02-28T22:31:26.333741
460,0.39930905401706696,0.5789216160774231,0.30825477838516235,0.35412001609802246,0.49505841732025146,0.3716583251953125,46,clear_noon,2026-02-28T22:31:40.968487
470,0.4684833387533824,0.7427383065223694,0.32973551750183105,0.27129554748535156,0.49564141035079956,0.36974501609802246,47,clear_noon,2026-02-28T22:31:55.657993
480,0.2534327308336894,0.460987389087677,0.21445417404174805,0.1397245228290558,0.4945678114891052,0.3680035173892975,48,partly_cloudy,2026-02-28T22:32:10.329212
490,0.40844097733497614,0.5981824398040771,0.3207896947860718,0.26791319251060486,0.49281033873558044,0.3701156675815582,49,golden_hour,2026-02-28T22:32:25.015913
500,0.49397560954093933,0.6370977163314819,0.36951562762260437,0.2822117507457733,0.49362701177597046,0.3737363815307617,50,clear_noon,2026-02-28T22:32:39.682763
