viewpoint,yaw,pitch,distance,max_conf_carla,num_detections,iou
232,232,-15,8,0.43698710203170776,51,0.9202545285224915
233,233,-15,8,0.25612035393714905,45,0.9244988560676575
234,234,-15,8,0.4080948233604431,52,0.9532365798950195
235,235,-15,8,0.5192687511444092,56,0.9516517519950867
236,236,-15,8,0.36631572246551514,50,0.9565691351890564
237,237,-15,8,0.3299747705459595,55,0.9550087451934814
238,238,-15,8,0.38043421506881714,52,0.9661242365837097
239,239,-15,8,0.27065303921699524,47,0.9665273427963257
240,240,-15,8,0.3823588788509369,51,0.9766212105751038
241,241,-15,8,0.22058361768722534,48,0.9686684012413025
242,242,-15,8,0.15028317272663116,43,0.971493124961853
243,243,-15,8,0.27715393900871277,50,0.9663321375846863
244,244,-15,8,0.13933944702148438,43,0.9517541527748108
245,245,-15,8,0.1362033486366272,45,0.9716755151748657
246,246,-15,8,0.16815823316574097,47,0.9737944602966309
247,247,-15,8,0.12559285759925842,45,0.964174211025238
248,248,-15,8,0.1054610162973404,44,0.9564419388771057
249,249,-15,8,0.0803711786866188,43,0.9486044645309448
250,250,-15,8,0.10538474470376968,46,0.9549562931060791
251,251,-15,8,0.09122628718614578,45,0.965491533279419
252,252,-15,8,0.06434201449155807,35,0.9658891558647156
253,253,-15,8,0.08990702033042908,43,0.96094810962677
254,254,-15,8,0.07683227956295013,42,0.9525172114372253
255,255,-15,8,0.05283334478735924,28,0.9502877593040466
256,256,-15,8,0.06432433426380157,34,0.9235014319419861
257,257,-15,8,0.06239287927746773,34,0.9330539703369141
258,258,-15,8,0.06327623873949051,27,0.9282369017601013
259,259,-15,8,0.06882371008396149,31,0.9260283708572388
260,260,-15,8,0.09554069489240646,37,0.9390411376953125
261,261,-15,8,0.09476226568222046,36,0.9255815148353577
262,262,-15,8,0.10818635672330856,38,0.9126805663108826
263,263,-15,8,0.1148063987493515,35,0.9245501160621643
264,264,-15,8,0.14362093806266785,45,0.9175286293029785
265,265,-15,8,0.12078814208507538,43,0.9315517544746399
266,266,-15,8,0.11561626940965652,51,0.9274920225143433
267,267,-15,8,0.17902515828609467,56,0.9558213353157043
268,268,-15,8,0.3688337802886963,73,0.9544209837913513
269,269,-15,8,0.24096354842185974,71,0.9354828596115112
270,270,-15,8,0.2265852391719818,77,0.9302169680595398
271,271,-15,8,0.10235322266817093,57,0.9173155426979065
272,272,-15,8,0.12764231860637665,65,0.40615203976631165
273,273,-15,8,0.129892036318779,70,0.38590604066848755
274,274,-15,8,0.12337170541286469,65,0.9466354846954346
275,275,-15,8,0.08251204341650009,44,0.36963286995887756
276,276,-15,8,0.06699557602405548,28,0.3788183331489563
277,277,-15,8,0.0672743022441864,33,0.3820881247520447
278,278,-15,8,0.06779265403747559,26,0.8714962005615234
