viewpoint,yaw,pitch,distance,max_conf_carla,num_detections,iou
95,95,-15,8,0.07330286502838135,7,0.9573471546173096
96,96,-15,8,0.08173708617687225,5,0.9462102055549622
97,97,-15,8,0.10543867945671082,9,0.941382110118866
98,98,-15,8,0.10988277941942215,9,0.9320555329322815
99,99,-15,8,0.14720013737678528,6,0.9333379864692688
100,100,-15,8,0.14513902366161346,6,0.9151232242584229
101,101,-15,8,0.17640946805477142,4,0.8975406885147095
102,102,-15,8,0.15140609443187714,5,0.8919737339019775
103,103,-15,8,0.16567018628120422,11,0.9090036153793335
104,104,-15,8,0.20847545564174652,5,0.8969848155975342
105,105,-15,8,0.21619093418121338,13,0.8825093507766724
106,106,-15,8,0.21587033569812775,6,0.8809086680412292
107,107,-15,8,0.18560540676116943,11,0.8589378595352173
108,108,-15,8,0.21910448372364044,14,0.869549572467804
109,109,-15,8,0.2539277970790863,11,0.8924358487129211
110,110,-15,8,0.2917914092540741,24,0.8927774429321289
111,111,-15,8,0.2785637080669403,18,0.8789278268814087
112,112,-15,8,0.26000627875328064,15,0.8885754942893982
113,113,-15,8,0.23659613728523254,17,0.8659502863883972
114,114,-15,8,0.2852216362953186,13,0.8596043586730957
115,115,-15,8,0.25746816396713257,11,0.841995894908905
116,116,-15,8,0.16866861283779144,7,0.8815640807151794
117,117,-15,8,0.14258572459220886,8,0.8811355233192444
118,118,-15,8,0.1324930638074875,5,0.4531407654285431
119,119,-15,8,0.11453540623188019,5,0.42655476927757263
120,120,-15,8,0.11523091793060303,8,0.4328102767467499
121,121,-15,8,0.10108563303947449,3,0.4318558871746063
122,122,-15,8,0.1113804429769516,4,0.4305422306060791
123,123,-15,8,0.08848123252391815,4,0.4214865267276764
124,124,-15,8,0.08838809281587601,5,0.40988531708717346
125,125,-15,8,0.08726736158132553,5,0.3978423476219177
126,126,-15,8,0.0860324501991272,3,0.8749899864196777
127,127,-15,8,0.10191546380519867,3,0.891602635383606
128,128,-15,8,0.10065163671970367,5,0.8986296653747559
129,129,-15,8,0.07768796384334564,2,0.8867225646972656
130,130,-15,8,0.09251293540000916,3,0.8935349583625793
131,131,-15,8,0.08656945079565048,2,0.9015350341796875
132,132,-15,8,0.07572103291749954,2,0.8974246382713318
133,133,-15,8,0.07579458504915237,4,0.883427619934082
134,134,-15,8,0.08371803164482117,2,0.895720362663269
135,135,-15,8,0.08275628834962845,5,0.8993157744407654
136,136,-15,8,0.07218556106090546,7,0.8916034698486328
137,137,-15,8,0.07435104250907898,5,0.9080705642700195
138,138,-15,8,0.06190585717558861,7,0.9148691296577454
139,139,-15,8,0.056991927325725555,6,0.9137740731239319
140,140,-15,8,0.06342318654060364,6,0.9163540005683899
141,141,-15,8,0.05924160033464432,5,0.9140686392784119
142,142,-15,8,0.07676821202039719,5,0.9028767943382263
143,143,-15,8,0.08038122951984406,6,0.9015577435493469
144,144,-15,8,0.06759375333786011,6,0.902677059173584
145,145,-15,8,0.062039051204919815,5,0.8986620903015137
146,146,-15,8,0.06384602934122086,5,0.8926752805709839
147,147,-15,8,0.05938223376870155,4,0.90809565782547
148,148,-15,8,0.05859151482582092,4,0.9278292059898376
149,149,-15,8,0.06308003515005112,5,0.9061771035194397
150,150,-15,8,0.062217969447374344,3,0.9502770304679871
151,151,-15,8,0.05260300636291504,2,0.9446750283241272
152,152,-15,8,0.06296045333147049,3,0.9526982307434082
153,153,-15,8,0.07813595235347748,2,0.949992835521698
154,154,-15,8,0.08476503193378448,3,0.9475287199020386
155,155,-15,8,0.0965631902217865,3,0.9517279863357544
156,156,-15,8,0.09391498565673828,3,0.951201856136322
157,157,-15,8,0.0903133749961853,2,0.9488763809204102
158,158,-15,8,0.09871619194746017,2,0.9575647115707397
159,159,-15,8,0.09906890243291855,2,0.9494004845619202
160,160,-15,8,0.10405885428190231,1,0.936229944229126
161,161,-15,8,0.11028147488832474,2,0.9328944087028503
162,162,-15,8,0.1143740862607956,1,0.9513245224952698
163,163,-15,8,0.11496689170598984,4,0.9551944136619568
164,164,-15,8,0.13908618688583374,6,0.9529809355735779
165,165,-15,8,0.13893353939056396,2,0.9487167000770569
166,166,-15,8,0.12336144596338272,8,0.9217058420181274
167,167,-15,8,0.15207360684871674,6,0.9064598679542542
168,168,-15,8,0.13947591185569763,6,0.8798148036003113
169,169,-15,8,0.15102550387382507,6,0.8584062457084656
170,170,-15,8,0.13546045124530792,6,0.8438971042633057
171,171,-15,8,0.14860853552818298,6,0.8283660411834717
172,172,-15,8,0.14533016085624695,6,0.824583113193512
173,173,-15,8,0.1501418501138687,4,0.8352382779121399
174,174,-15,8,0.15250523388385773,6,0.8044161796569824
175,175,-15,8,0.17200016975402832,6,0.8117005228996277
176,176,-15,8,0.08649691939353943,3,0.8738283514976501
177,177,-15,8,0.08936931192874908,2,0.8811587691307068
178,178,-15,8,0.0767536535859108,2,0.8106338381767273
179,179,-15,8,0.08534446358680725,6,0.8842173218727112
180,180,-15,8,0.09654587507247925,6,0.8959959745407104
181,181,-15,8,0.11893688142299652,4,0.8971093893051147
182,182,-15,8,0.10873708128929138,2,0.8995159268379211
183,183,-15,8,0.12335256487131119,3,0.8727914690971375
184,184,-15,8,0.11214236915111542,3,0.8558176755905151
185,185,-15,8,0.1194714680314064,3,0.8618090748786926
186,186,-15,8,0.12886035442352295,6,0.8902660608291626
187,187,-15,8,0.09631922841072083,4,0.8819426894187927
188,188,-15,8,0.10334932804107666,2,0.8799266219139099
189,189,-15,8,0.07112470269203186,1,0.9078084826469421
190,190,-15,8,0.07841911166906357,1,0.8949885368347168
191,191,-15,8,0.07574880868196487,2,0.8887552618980408
192,192,-15,8,0.07648329436779022,3,0.8739404082298279
193,193,-15,8,0.07541947066783905,5,0.8953142762184143
194,194,-15,8,0.0925709530711174,4,0.8984220027923584
195,195,-15,8,0.054515108466148376,1,0.8808590173721313
196,196,-15,8,0.05408494547009468,1,0.8867712020874023
197,197,-15,8,0.03969677537679672,1,0.9007585644721985
198,198,-15,8,0.03228160738945007,1,0.904477059841156
199,199,-15,8,0.03152676671743393,1,0.9159338474273682
200,200,-15,8,0.03857473284006119,1,0.9162301421165466
201,201,-15,8,0.039462633430957794,1,0.9217582941055298
202,202,-15,8,0.04815097525715828,1,0.9239510297775269
203,203,-15,8,0.038862258195877075,1,0.9178821444511414
204,204,-15,8,0.045989517122507095,4,0.9135504364967346
205,205,-15,8,0.04249534383416176,2,0.9208831787109375
206,206,-15,8,0.043359071016311646,3,0.9186582565307617
207,207,-15,8,0.039065778255462646,2,0.9242461323738098
208,208,-15,8,0.03308333083987236,1,0.923975944519043
209,209,-15,8,0.033877089619636536,2,0.9271059036254883
210,210,-15,8,0.03208599612116814,3,0.9278568625450134
211,211,-15,8,0.03511014208197594,4,0.9285464882850647
212,212,-15,8,0.04178794100880623,5,0.9268950819969177
213,213,-15,8,0.04574563354253769,5,0.9299183487892151
214,214,-15,8,0.03291647881269455,4,0.9211926460266113
215,215,-15,8,0.04552272707223892,6,0.9254461526870728
216,216,-15,8,0.04593281447887421,6,0.9288418889045715
217,217,-15,8,0.04019951820373535,2,0.9389743208885193
218,218,-15,8,0.035980723798274994,1,0.9320574998855591
219,219,-15,8,0.02864549681544304,1,0.9330045580863953
220,220,-15,8,0.023067831993103027,1,0.9286426901817322
221,221,-15,8,0.028399894014000893,1,0.9265154600143433
222,222,-15,8,0.033423058688640594,1,0.9187588095664978
223,223,-15,8,0.04447302222251892,2,0.9138957858085632
224,224,-15,8,0.03632461652159691,1,0.9038313031196594
225,225,-15,8,0.028315531089901924,1,0.9043500423431396
226,226,-15,8,0.039655279368162155,1,0.9209773540496826
227,227,-15,8,0.043341394513845444,2,0.9359906315803528
228,228,-15,8,0.04447904974222183,1,0.940224289894104
229,229,-15,8,0.05056460574269295,1,0.9352186918258667
230,230,-15,8,0.06320228427648544,1,0.9372667670249939
231,231,-15,8,0.05291767045855522,1,0.9305952191352844
232,232,-15,8,0.0436641126871109,1,0.9320775866508484
233,233,-15,8,0.03880727291107178,1,0.9296756386756897
234,234,-15,8,0.04078633338212967,1,0.9312620162963867
235,235,-15,8,0.03960848227143288,1,0.9259853363037109
236,236,-15,8,0.05056825280189514,1,0.9261017441749573
237,237,-15,8,0.04852747172117233,1,0.9249007701873779
238,238,-15,8,0.03996672481298447,1,0.9338123798370361
239,239,-15,8,0.041654184460639954,1,0.9318140149116516
240,240,-15,8,0.035635028034448624,1,0.9331612586975098
241,241,-15,8,0.031259749084711075,1,0.9237711429595947
242,242,-15,8,0.02866368554532528,1,0.9231361746788025
243,243,-15,8,0.028231818228960037,1,0.9218569993972778
244,244,-15,8,0.027721460908651352,1,0.9224473237991333
245,245,-15,8,0.023825839161872864,1,0.9275199174880981
246,246,-15,8,0.024998681619763374,1,0.9241966605186462
247,247,-15,8,0.026549965143203735,1,0.9312342405319214
248,248,-15,8,0.02830757014453411,1,0.928655743598938
249,249,-15,8,0.022436566650867462,1,0.9324508905410767
250,250,-15,8,0.023519691079854965,1,0.9243740439414978
251,251,-15,8,0.0,0,0.0
252,252,-15,8,0.022257225587964058,1,0.9178855419158936
253,253,-15,8,0.024305623024702072,1,0.9118582010269165
254,254,-15,8,0.0,0,0.0
255,255,-15,8,0.0,0,0.0
256,256,-15,8,0.025751346722245216,1,0.9593539237976074
257,257,-15,8,0.024559957906603813,1,0.9511932134628296
258,258,-15,8,0.033838871866464615,1,0.9537416100502014
259,259,-15,8,0.029547343030571938,1,0.9560209512710571
260,260,-15,8,0.03561568632721901,1,0.9563937783241272
261,261,-15,8,0.03474850580096245,1,0.9478683471679688
262,262,-15,8,0.0,0,0.0
263,263,-15,8,0.0,0,0.0
264,264,-15,8,0.0,0,0.0
265,265,-15,8,0.0,0,0.0
266,266,-15,8,0.0,0,0.0
267,267,-15,8,0.0,0,0.0
268,268,-15,8,0.0,0,0.0
269,269,-15,8,0.0,0,0.0
270,270,-15,8,0.0,0,0.0
271,271,-15,8,0.046354565769433975,1,0.0
272,272,-15,8,0.0,0,0.0
273,273,-15,8,0.02683253586292267,1,0.0
274,274,-15,8,0.02701348066329956,1,0.0
275,275,-15,8,0.0,0,0.0
276,276,-15,8,0.0,0,0.0
277,277,-15,8,0.0,0,0.0
278,278,-15,8,0.0,0,0.0
279,279,-15,8,0.0,0,0.0
280,280,-15,8,0.0,0,0.0
281,281,-15,8,0.0,0,0.0
282,282,-15,8,0.0,0,0.0
283,283,-15,8,0.0,0,0.0
284,284,-15,8,0.0,0,0.0
285,285,-15,8,0.0,0,0.0
286,286,-15,8,0.0,0,0.0
287,287,-15,8,0.0,0,0.0
288,288,-15,8,0.0,0,0.0
289,289,-15,8,0.0,0,0.0
290,290,-15,8,0.0,0,0.0
291,291,-15,8,0.0,0,0.0
292,292,-15,8,0.0,0,0.0
293,293,-15,8,0.0,0,0.0
294,294,-15,8,0.0,0,0.0
295,295,-15,8,0.0,0,0.0
296,296,-15,8,0.0,0,0.0
297,297,-15,8,0.0,0,0.0
298,298,-15,8,0.0,0,0.0
299,299,-15,8,0.0,0,0.0
300,300,-15,8,0.0,0,0.0
301,301,-15,8,0.0,0,0.0
302,302,-15,8,0.0,0,0.0
303,303,-15,8,0.0,0,0.0
304,304,-15,8,0.0,0,0.0
305,305,-15,8,0.0,0,0.0
306,306,-15,8,0.0,0,0.0
307,307,-15,8,0.0,0,0.0
308,308,-15,8,0.0,0,0.0
309,309,-15,8,0.0,0,0.0
310,310,-15,8,0.0,0,0.0
311,311,-15,8,0.0,0,0.0
312,312,-15,8,0.0,0,0.0
313,313,-15,8,0.0,0,0.0
314,314,-15,8,0.025922996923327446,1,0.8663338422775269
315,315,-15,8,0.031017867848277092,1,0.88106369972229
